corner,gain_db,idd_a,meets_all,meets_gain_55db,meets_gbw_5g,meets_pm_60deg,ncas_mid,ok,phase_margin_deg,tag,temp_c,ugf_hz,vbncas,vbncm,vbntail,vbpfold,vbptop,vcmref,vdd_v,von,vop
SF,45.07887410572618,0.0008914464899819019,False,False,False,True,0.2930905384533775,True,79.1071621343717,SF_v81_tp27,27,3897656882.7905073,0.6202659008720199,0.4956286391633987,0.6010858127022367,0.1492989633679408,0.3520532328554379,0.4608033198426357,0.81,0.4672755248192584,0.4672636219336909
SF,43.97603289605896,0.0009973585500666557,False,False,False,True,0.1972008337349508,True,69.56998295241009,SF_v81_tp125,125,4186519751.910156,0.4201354899012408,0.4934325929286284,0.570426302159394,0.1804677086450764,0.4114728230022471,0.4100579525532837,0.81,0.4117723753963652,0.411772375870509
SF,52.199311806185165,0.0009068920488189673,False,False,True,True,0.3610822815764212,True,74.7633129868023,SF_v90_tm40,-40,5139113946.625173,0.7607025955547306,0.5318722623003029,0.6196292732482624,0.1832104392808302,0.3993670278905409,0.5009238105288844,0.9,0.5065503307708369,0.5065503306775778
SF,54.91264291237141,0.0009718645157922631,False,False,True,True,0.2961937436559643,True,66.60164008542391,SF_v90_tp27,27,5317352083.058834,0.6267858423237808,0.4669493539590829,0.6010859289556867,0.209632759542587,0.43993352581649,0.465168608500495,0.9,0.4635587094099094,0.4635587091514049
SF,54.11152740555572,0.001067480834181026,False,False,False,True,0.1998683190167946,True,63.009756794114665,SF_v90_tp125,125,3945203627.3637223,0.4257914047839437,0.3618143803726673,0.5704264488419274,0.2452999719275988,0.4992573504512625,0.4144443241459959,0.9,0.4007001998125182,0.4007001995864031
SF,58.98754647694125,0.0009692638269799766,True,True,True,True,0.3639970985178175,True,61.46826546533306,SF_v99_tm40,-40,6380718967.874533,0.7668053451067439,0.4999678816309379,0.619629373626699,0.2602779141816078,0.4877926790010687,0.5045050555433255,0.99,0.5025618222267992,0.5025618218782054
SF,60.45992687661566,0.001034897956549699,False,True,False,False,0.2986081717943772,True,59.36974292486049,SF_v99_tp27,27,4796650106.41624,0.6318581516915632,0.4175431329647,0.6010860523706165,0.2887564625149837,0.5282385276488176,0.4688311178243232,0.99,0.4588300724903642,0.4588300726756281
SF,59.19191351707917,0.00114155018344491,False,True,False,True,0.2021326622414436,True,69.93197851330676,SF_v99_tp125,125,1387848252.7583141,0.4305919244385772,0.2414927500345035,0.5704265857063294,0.3261678338349396,0.5874288523158921,0.4182002912589317,0.99,0.3906180710051967,0.3906180698959947
FS,47.788212789950165,0.000794246953109174,False,False,False,True,0.3213989471689105,True,78.12817706616657,FS_v81_tm40,-40,4213176976.009049,0.6746742331261162,0.4836855405976618,0.554475937214245,0.142105257268513,0.2746720949065792,0.4563789044106313,0.81,0.4686800277716286,0.4686445800231377
FS,51.76834765919195,0.0008894393597986097,False,False,False,True,0.2568161341287452,True,69.52518584010357,FS_v81_tp27,27,4563183134.265279,0.5415301843901288,0.4258593828577599,0.5343545983530967,0.1605625809102815,0.31637608259633,0.4222551036976983,0.81,0.4273695230245728,0.4273695228386181
FS,48.78722240971768,0.001006367079921715,False,False,False,True,0.1613812375440833,True,65.49412240147144,FS_v81_tp125,125,3692552149.966728,0.3425347061514504,0.4001674444199378,0.5014388485845455,0.1904505456494249,0.3770786517569378,0.3737400154082713,0.81,0.3722327677513418,0.3722327670786065
FS,56.87987064690649,0.0008866013207638673,True,True,True,True,0.3248247602336035,True,63.54546025167008,FS_v90_tm40,-40,5505849999.899471,0.681819820879811,0.4557965086920641,0.5544760138072156,0.223109099028704,0.3621691032235287,0.4606543484744708,0.9,0.4646484082930749,0.4646484080105207
FS,59.02754717615493,0.0009710901395127747,False,True,False,True,0.2597602119515736,True,61.5745956188141,FS_v90_tp27,27,4427064986.358818,0.5476973369697224,0.3855608176739336,0.5343546884026239,0.2400396071893881,0.4038235867651769,0.4265106499441242,0.9,0.4228779118784065,0.4228779115090373
FS,58.10401931956865,0.001078804849104794,False,True,False,True,0.1641333211922565,True,64.89649186861949,FS_v90_tp125,125,2417007359.7942476,0.3483557128346048,0.2662146904747346,0.5014389457018401,0.269195555381806,0.4644769044232605,0.3779976260732981,0.9,0.3604838241132824,0.3604838233415859
FS,61.945660258466894,0.0009631128174939071,False,True,False,False,0.327312224839572,True,58.69744138428062,FS_v99_tm40,-40,3997023119.5844707,0.6870088966688684,0.4048951721701115,0.5544760908442574,0.3107897657127818,0.4502996045618599,0.464110391770266,0.99,0.4595303743243721,0.4595303747432168
FS,62.08121777273428,0.001048953173707144,False,True,False,True,0.262125641253488,True,67.28136155098261,FS_v99_tp27,27,1766294463.8087962,0.5526518120464127,0.3038536281424294,0.534354770440244,0.3269854963017874,0.4918399792382188,0.4300310510906248,0.99,0.4157694890769607,0.415769487815957
FS,57.11636067723991,0.001153291359390156,False,True,False,True,0.1664549397630769,True,86.68195684424923,FS_v99_tp125,125,226262996.62288246,0.3532653929447584,0.1245624153167831,0.5014390242092178,0.3555431469323567,0.552373146199986,0.3816052450683184,0.99,0.3358836624312792,0.3358836573277622
